name	codepoint_hex	glyph	printf_escape
nf-dev-swagger	e8b8		\ue8b8
nf-dev-swift	e755		\ue755
nf-dev-swiper	e8b9		\ue8b9
nf-dev-symfony	e757		\ue757
nf-dev-tailwindcss	e8ba		\ue8ba
nf-dev-tauri	e8bb		\ue8bb
nf-dev-tensorflow	e8bc		\ue8bc
nf-dev-terminal	e795		\ue795
nf-dev-terraform	e8bd		\ue8bd
nf-dev-tex	e8be		\ue8be
nf-dev-thealgorithms	e8bf		\ue8bf
nf-dev-threedsmax	e8c0		\ue8c0
nf-dev-threejs	e8c1		\ue8c1
nf-dev-titaniumsdk	e8c2		\ue8c2
nf-dev-tomcat	e8c3		\ue8c3
nf-dev-tortoisegit	e8c4		\ue8c4
nf-dev-towergit	e8c5		\ue8c5
nf-dev-traefikmesh	e8c6		\ue8c6
nf-dev-traefikproxy	e8c7		\ue8c7
nf-dev-travis	e77e		\ue77e
nf-dev-trello	e75a		\ue75a
nf-dev-trpc	e8c8		\ue8c8
nf-dev-twitter	e8c9		\ue8c9
nf-dev-typescript	e8ca		\ue8ca
nf-dev-typo3	e772		\ue772
nf-dev-ubuntu	e73a		\ue73a
nf-dev-uml	e8cb		\ue8cb
nf-dev-unifiedmodelinglanguage	e8cb		\ue8cb
nf-dev-unity	e721		\ue721
nf-dev-unix	e8cc		\ue8cc
nf-dev-unrealengine	e8cd		\ue8cd
nf-dev-uwsgi	e8ce		\ue8ce
nf-dev-v8	e8cf		\ue8cf
nf-dev-vagrant	e8d0		\ue8d0
nf-dev-vala	e8d1		\ue8d1
nf-dev-vault	e8d2		\ue8d2
nf-dev-vercel	e8d3		\ue8d3
nf-dev-vertx	e8d4		\ue8d4
nf-dev-vim	e7c5		\ue7c5
nf-dev-visualbasic	e8d5		\ue8d5
nf-dev-visualstudio	e70c		\ue70c
nf-dev-vite	e8d6		\ue8d6
nf-dev-vitejs	e8d7		\ue8d7
nf-dev-vitess	e8d8		\ue8d8
nf-dev-vitest	e8d9		\ue8d9
nf-dev-vscode	e8da		\ue8da
nf-dev-vsphere	e8db		\ue8db
nf-dev-vuejs	e8dc		\ue8dc
nf-dev-vuestorefront	e8dd		\ue8dd
nf-dev-vuetify	e8de		\ue8de
nf-dev-vyper	e8df		\ue8df
nf-dev-wasm	e8e0		\ue8e0
nf-dev-webflow	e8e1		\ue8e1
nf-dev-weblate	e8e2		\ue8e2
nf-dev-webpack	e8e3		\ue8e3
nf-dev-webstorm	e8e4		\ue8e4
nf-dev-windows	e70f		\ue70f
nf-dev-windows11	e8e5		\ue8e5
nf-dev-woocommerce	e8e6		\ue8e6
nf-dev-wordpress	e70b		\ue70b
nf-dev-xamarin	e8e7		\ue8e7
nf-dev-xcode	e8e8		\ue8e8
nf-dev-xd	e8e9		\ue8e9
nf-dev-xml	e8ea		\ue8ea
nf-dev-yaml	e8eb		\ue8eb
nf-dev-yarn	e8ec		\ue8ec
nf-dev-yii	e782		\ue782
nf-dev-yugabytedb	e8ed		\ue8ed
nf-dev-yunohost	e8ee		\ue8ee
nf-dev-zend	e778		\ue778
nf-dev-zig	e8ef		\ue8ef
nf-fa-fa	f2b4		\uf2b4
nf-fa-font_awesome	f2b4		\uf2b4
nf-linux-hyprland	f359		\uf359
nf-md-arch	f08c7	󰣇	\U000f08c7
nf-md-bash	f1183	󱆃	\U000f1183
nf-md-bluetooth	f00af	󰂯	\U000f00af
nf-md-docker	f0868	󰡨	\U000f0868
nf-md-nix	f1105	󱄅	\U000f1105
